regiao;ano;maximo_entre_regiao
Centro-Oeste;2020;875400
Centro-Oeste;2021;1528110
Centro-Oeste;2022;1763163
Centro-Oeste;2023;280016
Centro-Oeste;2024;157069
Centro-Oeste;2025;46873
Nordeste;2020;1963185
Nordeste;2021;3089070
Nordeste;2022;2296934
Nordeste;2023;297493
Nordeste;2024;234570
Nordeste;2025;49290
Norte;2020;865188
Norte;2021;1071820
Norte;2022;917904
Norte;2023;93400
Norte;2024;69137
Norte;2025;30047
Sudeste;2020;2704995
Sudeste;2021;5983465
Sudeste;2022;5757241
Sudeste;2023;899468
Sudeste;2024;404165
Sudeste;2025;103110
Sul;2020;1385889
Sul;2021;2999153
Sul;2022;3389361
Sul;2023;413205
Sul;2024;189935
Sul;2025;21023
